timestamp,trade_id,pair,action,confidence,entry_price,sl,tp,status,reason,pnl,win_loss
2025-08-18 14:35:26,cf3feb9b,BTCUSD,SELL,82.4,115332.25,116980.0,113680.0,ERROR,Order failed: 10027,,
2025-08-18 14:39:03,3305ca36,BTCUSD,SELL,82.4,115251.0,117627.75,113500.0,ERROR,Order failed: 10027,,
2025-08-18 14:44:08,66709b0d,BTCUSD,SELL,82.4,115279.25,116926.9,113631.6,ERROR,Order failed: 10027,,
2025-08-18 14:48:49,7ab782ce,BTCUSD,SELL,82.4,115048.5,117627.75,112500.0,ERROR,Order failed: 10027,,
2025-08-18 14:53:25,74d4b4a6,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 14:53:25,90128f53,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 14:57:21,cf921895,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 14:57:21,4861873b,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:02:24,4968543b,BTCUSD,SELL,82.4,115748.5,117482.25,114680.0,ERROR,Order failed: 10027,,
2025-08-18 15:06:15,623d2666,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:06:15,7012899b,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:11:15,04a2b5ce,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:11:15,cd03aa17,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:15:27,4a94d02e,BTCUSD,SELL,82.4,115509.5,117482.25,113500.0,ERROR,Order failed: 10027,,
2025-08-18 15:19:38,11731901,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:19:38,fe476df9,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:23:07,e2396d49,BTCUSD,SELL,82.4,115703.75,117482.25,114680.0,ERROR,Order failed: 10027,,
2025-08-18 15:27:04,78f5325b,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:27:04,43dd2b38,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:31:25,ab3fa5c4,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:31:25,97fa9896,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:35:10,2a5b8ad3,BTCUSD,BUY,82.4,115678.0,114680.0,116500.0,ERROR,Order failed: 10027,,
2025-08-18 15:39:34,3c4797fe,BTCUSD,BUY,82.4,115846.25,114680.0,116500.0,ERROR,Order failed: 10027,,
2025-08-18 15:44:32,702f2763,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:44:32,95315bba,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:48:39,2d6697f5,BTCUSD,BUY,82.4,115844.5,114680.0,116500.0,ERROR,Order failed: 10027,,
2025-08-18 15:52:08,574f7368,BTCUSD,BUY,82.4,116133.25,114680.0,117482.25,ERROR,Order failed: 10027,,
2025-08-18 15:55:51,e466f39a,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:55:51,cabffb69,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:59:39,722cdc33,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 15:59:39,6890fa86,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:04:08,42a40034,BTCUSD,BUY,82.4,116412.75,115853.57,116971.93,ERROR,Order failed: 10027,,
2025-08-18 16:09:05,52664077,BTCUSD,BUY,82.4,116347.75,115782.25,116912.25,ERROR,Order failed: 10027,,
2025-08-18 16:13:44,9879a6d6,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:13:44,a84fdfe2,BTCUSD,NO_TRADE,65.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:17:41,10d79f81,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:17:41,24bf8b1b,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:21:36,54e4891f,XAUUSD,NO_TRADE,65.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:21:36,f2d15ec4,BTCUSD,NO_TRADE,65.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:26:10,7b539e99,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:26:10,c0356b66,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:30:59,1aa32175,BTCUSD,BUY,82.4,116109.5,114680.0,117500.0,ERROR,Order failed: 10027,,
2025-08-18 16:35:48,f7beb00a,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:35:48,7c521ef2,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:39:36,cccef5ee,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:39:36,feff428d,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:43:20,8cfc60e8,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:43:20,3c7b39a0,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:47:17,5d4aa904,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:47:17,080c9015,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:50:38,67e0e043,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:50:38,d3ad64b8,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:54:47,2f11c91d,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:54:47,638d1134,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:58:09,bad527bb,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 16:58:09,c90e1b2b,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:03:07,f465538d,BTCUSD,BUY,82.4,116099.5,114680.0,117000.0,ERROR,Order failed: 10027,,
2025-08-18 17:08:28,456e53a3,BTCUSD,BUY,82.4,116090.5,114680.0,117000.0,ERROR,Order failed: 10027,,
2025-08-18 17:13:05,b38b78f5,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:13:05,e12b1c63,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:16:29,64aa1d62,BTCUSD,BUY,82.4,116413.25,115847.46,116979.04,ERROR,Order failed: 10027,,
2025-08-18 17:21:29,4911b67e,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:21:29,ebf2ba98,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:25:59,1f438b63,BTCUSD,BUY,82.4,116509.0,115933.3,117085.7,ERROR,Order failed: 10027,,
2025-08-18 17:31:14,0d6394aa,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:31:14,aa3fc341,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:34:51,62778a0d,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:34:51,c35b02ea,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:39:12,094e61ed,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:39:12,f2b3a33f,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:44:06,ce69784f,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:44:06,0128eaa3,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:48:58,738686bf,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:48:58,9e0499a0,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:53:26,09fa26ca,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:53:26,46d3b865,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:58:31,d43dc508,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 17:58:31,09f1ed20,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:02:24,0cd91e30,BTCUSD,BUY,82.4,116470.5,115897.07,116853.75,ERROR,Order failed: 10027,,
2025-08-18 18:06:33,078c637a,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:06:33,5b4b54e2,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:11:38,89eb24c6,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:11:38,a8cb4841,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:15:45,1c39bcf8,BTCUSD,BUY,82.4,116373.5,115795.09,116951.91,ERROR,Order failed: 10027,,
2025-08-18 18:19:19,a48f8332,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:19:19,235377f6,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:23:40,9088b0bc,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:23:40,d5a52de4,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:28:58,e9c5cbe0,BTCUSD,BUY,82.4,116408.25,115824.0,116853.75,ERROR,Order failed: 10027,,
2025-08-18 18:34:04,279478ab,XAUUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:34:04,8856d3bb,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:39:08,49dcb0d7,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:39:08,5ea7b02b,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:42:48,26bcf012,BTCUSD,NO_TRADE,65.2,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:42:48,ccc8e17e,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:47:21,537a6ccb,XAUUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
2025-08-18 18:47:21,e26c106d,BTCUSD,NO_TRADE,0.0,,,,SKIPPED,Below threshold (min: 78.0%) or NO_TRADE signal,,
